Product Name,total_net_sales,cumulative_sales_pct,ABC_segment,XYZ_segment,ABC_XYZ_segment
Cleveland Golf Collegiate My Custom Wedge 588,1869.0,0.9897126765875873,C,Z,CZ
Glove It Women's Imperial Golf Glove,1793.0,0.9901282345290177,C,Y,CY
TaylorMade 2017 Purelite Stand Bag,1758.6,0.9905358196912035,C,Y,CY
Titleist Small Wheeled Travel Cover,1745.0,0.9909402528243859,C,Y,CY
Ogio Race Golf Shoes,1691.5,0.9913322864317085,C,Z,CZ
Glove It Women's Mod Oval Golf Glove,1640.8,0.9917125694603192,C,Y,CY
Merrell Women's Siren Mid Waterproof Hiking B,1615.95,0.992087093082993,C,Z,CZ
Total Gym 1400,1590.0,0.992455602356208,C,Z,CZ
Children's heaters,1527.96,0.9928097328147623,C,Z,CZ
Fighting video games,1524.0,0.9931629454766362,C,Z,CZ
Hirzl Women's Hybrid Golf Glove,1513.05,0.9935136202916284,C,Z,CZ
GolfBuddy VT3 GPS Watch,1428.0,0.9938445833370063,C,Z,CZ
Rock music,1404.1799999999998,0.994170025696291,C,Z,CZ
adidas Brazuca 2017 Official Match Ball,1403.2,0.9944952409240742,C,Y,CY
insta-bed Neverflat Air Mattress,1354.5,0.9948091691068223,C,Z,CZ
Titleist Club Glove Travel Cover,1341.0,0.9951199684372507,C,Y,CY
The North Face Women's Recon Backpack,1319.67,0.9954258241810138,C,Z,CZ
Hirzl Men's Hybrid Golf Glove,1317.9,0.9957312696974729,C,Z,CZ
Nike Men's Fingertrap Max Training Shoe,1296.25,0.9960316974618785,C,Z,CZ
Polar Loop Activity Tracker,1276.0,0.9963274319478044,C,Y,CY
Hirzl Women's Soffft Flex Golf Glove,1270.08,0.9966217943740463,C,Z,CZ
Sports Books,1229.77,0.9969068142790283,C,Z,CZ
Stiga Master Series ST3100 Competition Indoor,1211.1,0.9971875070971354,C,Z,CZ
Garmin Forerunner 910XT GPS Watch,1116.0,0.9974461588889013,C,Z,CZ
MDGolf Pittsburgh Penguins Putter,1108.8,0.99770314195943,C,Z,CZ
Baby sweater,1090.91,0.997955978721218,C,Z,CZ
Merrell Women's Grassbow Sport Waterproof Hik,1055.6000000000001,0.9982006317959384,C,Z,CZ
Clicgear 8.0 Shoe Brush,992.0,0.9984305444997303,C,Z,CZ
Men's gala suit,928.4,0.9986457168325937,C,Y,CY
LIJA Women's Button Golf Dress,846.72,0.9988419584500883,C,Y,CY
TaylorMade Women's RBZ SL Rescue,845.0,0.9990378014286208,C,Y,CY
Diamondback Girls' Clarity 24 Hybrid Bike 201,822.0,0.9992283137698676,C,Z,CZ
Toys,758.76,0.9994041691762477,C,Z,CZ
Diamondback Boys' Insight 24 Performance Hybr,741.0,0.9995759084035762,C,Y,CY
Garmin Approach S4 Golf GPS Watch,702.0,0.9997386087242032,C,Z,CZ
CDs of rock,396.22,0.9998304393809535,C,Z,CZ
GoPro HERO3+ Black Edition Camera,392.0,0.9999212919816455,C,X,CX
Cleveland Golf Women's 588 RTX CB Satin Chrom,339.6,1.0,C,X,CX
